ID,MEDCAUSE,COUNTY,CITY,ACC_DATE,ACCYR,MONTH,WEEKDAY,TIME,TOT_KILL,TOT_INJ,NO_PEDS,NUMVEHS,ROUTE_ID,MILEPOST,ST_FUNC,RUR_URB,V1CMPDIR,V1EVENT1,V1DIRCDE,ACCTYPE,V2CMPDIR,V2EVENT1,V2DIRCDE,SEVERITY,OBJECT1,OBJECT2,LOC_TYPE,RDSURF,LIGHT,LOC_CHAR,WKZONE,ALCFLAG,RODWYCLS,CITY_NAME,ACCESS_CONTROL,LANE_COUNT,MEDIAN_WIDTH,MEDIAN_BARRIER,ROAD_WIDTH,RIGHT_SHOULDER_WIDTH,LEFT_SHOULDER_SURFACE,LEFT_SHOULDER_WIDTH,SPECIAL_USE_LANE_ROAD_SIDE,SPEED_LIMIT,LANE_SURFACE_TYPE,TOTAL_AADT,DIVIDED_INDICATOR,SEATPOS_0,AGE_0,SEX_0,REST1_0,HELMET_0,DRASSESS_1,CONTRIB1_1,CONTRIB2_1,VEH_USE_1,DRV_ACTN_1,VEHCOND1_1,VEHCOND2_1,VEHCOND3_1,INTER_A_1,CMAXLES_1,DRAIRBAG_1,DRV_EJCT_1,SEATPOS_1,AGE_1,SEX_1,REST1_1,HELMET_1,DRASSESS_2,CONTRIB1_2,CONTRIB2_2,VEH_USE_2,DRV_ACTN_2,VEHCOND1_2,VEHCOND2_2,VEHCOND3_2,INTER_A_2,CMAXLES_2,DRAIRBAG_2,DRV_EJCT_2,SEATPOS_2,AGE_2,SEX_2,REST1_2,HELMET_2,DRASSESS_3,CONTRIB1_3,CONTRIB2_3,VEH_USE_3,DRV_ACTN_3,VEHCOND1_3,VEHCOND2_3,VEHCOND3_3,INTER_A_3,CMAXLES_3,DRAIRBAG_3,DRV_EJCT_3,ROUTE_MILEPOST
EC25847,0,17,8,1,2022,3,3,1900,0,0,0,2,78,9.62,2,0,1,2,1,7,0,10,4,1,-1,-1,1,0,6,-1,-1,0,1,8,1,4,0,-1,65,0,-1,0,0,35,1,19000,0,0,75.0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,38.0,1,1,2,0,0,0,1,16,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78009.62
EC24175,0,18,38,11,2022,2,6,1800,0,1,1,1,3,2.4,0,0,5,1,0,8,7,3,1,3,-1,-1,0,0,1,-1,-1,0,3,38,2,2,0,-1,38,0,-1,0,0,30,1,11000,0,1,56.0,1,0,0,0,6,0,1,1,0,0,0,0,0,4,1,0,63.0,1,1,2,0,3,0,2,6,1,0,0,0,0,0,0,3,44.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3002.4
EC68068,0,8,-1,23,2022,7,7,1600,0,0,0,1,16,41.98,4,1,4,1,1,3,6,4,3,1,11,-1,0,0,0,-1,-1,0,7,-1,7,2,0,-1,24,4,-1,0,0,50,3,1500,0,0,82.0,1,0,0,2,12,0,1,1,0,0,0,0,0,0,0,2,,2,0,2,0,0,0,2,6,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16041.98
EC11351,0,16,44,5,2022,1,4,1600,0,1,0,3,50,3.54,1,0,5,1,0,4,1,3,0,2,-1,-1,0,2,2,-1,-1,0,5,45,0,4,76,1,62,10,1,4,0,70,0,57000,1,1,40.0,1,0,0,0,6,0,10,5,0,0,0,1,1,4,1,0,57.0,0,1,2,2,0,0,2,5,0,0,0,0,0,1,1,1,38.0,1,1,0,1,0,0,3,6,1,0,0,1,1,1,1,50003.54
EC34447,0,0,29,3,2022,4,1,1500,0,0,0,1,4,0.15,1,0,7,1,0,3,6,4,3,1,11,-1,0,1,0,-1,-1,0,0,28,-1,1,0,-1,15,8,1,4,0,0,1,0,0,1,10.0,2,0,0,0,6,0,0,1,0,0,0,0,0,4,1,1,6.0,0,2,2,0,0,0,2,6,1,0,0,0,0,0,0,1,31.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.15
EC27861,0,22,53,11,2022,3,6,700,0,0,0,2,42,0.11,2,0,5,1,0,5,1,2,0,1,-1,-1,6,0,0,-1,-1,0,4,-1,-1,3,0,-1,39,20,-1,0,0,0,1,0,0,0,22.0,1,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,30.0,1,1,2,0,0,0,1,3,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42000.11
EC13740,0,0,29,22,2022,1,7,100,0,0,0,1,4,0.26,1,0,7,1,0,3,6,4,3,1,13,13,0,0,1,2,-1,1,0,28,-1,1,0,-1,14,8,-1,0,0,0,1,0,0,0,34.0,2,0,3,2,11,20,1,1,0,0,0,0,0,5,0,2,,2,0,2,0,0,0,2,6,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000.26
EC24483,0,8,-1,24,2022,2,5,700,0,1,0,2,6,0.13,1,0,5,10,0,0,1,3,0,2,-1,3,0,3,0,-1,-1,0,0,-1,-1,1,0,-1,14,8,1,4,0,0,1,0,0,0,19.0,1,0,0,0,6,0,0,18,0,0,0,0,0,5,0,0,25.0,1,1,2,0,0,0,2,5,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000.13
EC31672,0,0,9,25,2022,3,6,1700,0,2,0,2,30,15.2,2,0,4,1,3,1,8,3,2,4,-1,-1,1,0,0,-1,-1,0,3,9,2,2,0,-1,22,5,-1,0,0,40,1,12000,0,0,33.0,1,0,0,0,22,8,1,1,0,0,0,0,0,5,0,0,53.0,0,1,2,0,0,0,1,5,0,0,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30015.2
EC29813,0,19,-1,18,2022,3,6,0,0,1,0,2,97,6.2,3,1,5,1,0,7,5,3,2,4,-1,-1,0,0,2,-1,-1,1,7,-1,1,2,0,-1,22,2,-1,0,0,55,3,4400,0,0,41.0,1,1,0,2,11,14,0,1,0,0,0,1,1,2,4,0,34.0,1,1,2,2,0,0,2,3,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97006.2
